position,our_rho,fp_rho,n
QB,0.3992039812073294,0.4748195799640991,511
RB,0.6532667474590023,0.694381624654903,1043
WR,0.5639931787671608,0.5975261360553258,1657
TE,0.5421088475403723,0.5681627393648804,893
